age,gender,income,education,marital_status,credit_score,loan_amount,employment_status,dependents,home_ownership,loan_purpose,loan_status
23,Male,133,PhD,Divorced,346,2,Unemployed,2,Rent,Education,Rejected
59,Male,38,PhD,Married,448,48,Employed,2,Mortgage,Business,Rejected
21,Male,67,Bachelor,Married,649,6,Unemployed,5,Mortgage,Education,Rejected
46,Male,64,Bachelor,Single,622,44,Unemployed,3,Mortgage,Education,Approved
35,Female,106,Master,Single,419,7,Employed,1,Own,Car,Rejected
43,Male,34,High School,Widowed,697,36,Retired,5,Rent,Business,Approved
61,Female,129,High School,Divorced,496,8,Employed,5,Rent,Home,Rejected
51,Female,115,PhD,Single,712,19,Retired,4,Mortgage,Personal,Rejected
27,Male,121,Bachelor,Single,738,10,Retired,5,Own,Home,Approved
53,Male,105,Master,Married,336,33,Self-Employed,5,Rent,Car,Rejected
31,Female,100,PhD,Married,486,37,Unemployed,1,Rent,Home,Rejected
48,Male,70,High School,Married,719,38,Retired,3,Own,Car,Rejected
65,Male,131,High School,Single,759,27,Retired,0,Rent,Car,Approved
32,Male,34,Master,Divorced,409,29,Employed,4,Rent,Home,Rejected
25,Male,84,PhD,Widowed,486,19,Retired,5,Rent,Personal,Approved
31,Male,107,Master,Divorced,770,18,Retired,5,Own,Personal,Rejected
40,Male,95,PhD,Single,377,23,Employed,0,Own,Home,Approved
57,Male,29,High School,Widowed,673,1,Retired,2,Mortgage,Business,Rejected
38,Female,61,Bachelor,Divorced,629,43,Unemployed,1,Mortgage,Education,Rejected
33,Male,114,Bachelor,Single,424,3,Unemployed,0,Mortgage,Personal,Rejected
62,Female,30,High School,Divorced,615,10,Employed,3,Rent,Car,Rejected
35,Female,137,Bachelor,Single,619,7,Retired,0,Mortgage,Personal,Approved
64,Female,144,Bachelor,Married,774,49,Unemployed,4,Mortgage,Business,Rejected
70,Female,97,PhD,Divorced,788,26,Self-Employed,4,Mortgage,Home,Approved
41,Male,109,Master,Married,813,16,Employed,1,Mortgage,Business,Rejected
43,Female,27,PhD,Married,633,39,Employed,2,Mortgage,Education,Rejected
42,Female,130,Master,Widowed,370,45,Unemployed,5,Rent,Personal,Rejected
62,Female,77,Master,Widowed,764,32,Employed,4,Own,Car,Approved
58,Female,105,Bachelor,Divorced,675,12,Retired,3,Rent,Car,Approved
46,Female,74,Master,Single,307,44,Unemployed,1,Own,Business,Rejected
32,Male,141,Master,Widowed,463,8,Self-Employed,4,Mortgage,Home,Rejected
62,Male,127,High School,Widowed,594,8,Retired,3,Rent,Education,Rejected
18,Female,67,Master,Married,657,45,Self-Employed,5,Mortgage,Home,Rejected
42,Male,148,High School,Married,380,11,Self-Employed,0,Rent,Personal,Rejected
24,Male,66,PhD,Single,574,33,Employed,5,Rent,Business,Approved
26,Female,24,Bachelor,Widowed,839,25,Self-Employed,3,Mortgage,Business,Rejected
41,Female,43,Master,Widowed,346,17,Retired,5,Mortgage,Car,Rejected
18,Female,37,High School,Single,691,31,Unemployed,1,Own,Personal,Rejected
61,Male,103,PhD,Widowed,378,19,Unemployed,4,Mortgage,Car,Rejected
25,Female,24,PhD,Divorced,812,45,Self-Employed,2,Own,Home,Rejected
41,Male,49,PhD,Divorced,322,15,Self-Employed,2,Mortgage,Business,Approved
28,Male,20,High School,Single,527,44,Unemployed,3,Own,Business,Rejected
68,Male,105,High School,Married,737,49,Self-Employed,3,Rent,Education,Rejected
34,Female,101,Bachelor,Single,597,35,Retired,3,Rent,Home,Rejected
25,Male,88,Master,Divorced,559,39,Self-Employed,4,Mortgage,Personal,Rejected
52,Female,50,PhD,Widowed,309,2,Self-Employed,2,Rent,Education,Rejected
52,Female,110,Bachelor,Widowed,457,34,Retired,2,Mortgage,Business,Rejected
50,Female,112,High School,Married,457,25,Unemployed,1,Mortgage,Personal,Rejected
22,Female,146,Bachelor,Married,619,38,Unemployed,1,Mortgage,Car,Approved
59,Female,35,PhD,Divorced,501,4,Self-Employed,0,Own,Home,Rejected
56,Male,73,PhD,Married,420,16,Unemployed,4,Own,Car,Rejected
58,Male,39,Bachelor,Single,438,32,Retired,3,Mortgage,Business,Rejected
45,Male,101,PhD,Divorced,638,15,Self-Employed,1,Rent,Education,Approved
24,Male,128,High School,Widowed,559,42,Self-Employed,0,Rent,Car,Approved
26,Male,132,PhD,Widowed,732,14,Self-Employed,0,Rent,Business,Approved
25,Female,36,Master,Widowed,343,41,Employed,2,Own,Car,Rejected
29,Female,145,Master,Married,458,15,Employed,4,Own,Home,Rejected
51,Male,22,PhD,Divorced,654,7,Retired,4,Own,Car,Approved
50,Male,36,Bachelor,Married,397,7,Self-Employed,5,Rent,Home,Approved
65,Male,69,PhD,Single,837,8,Retired,3,Rent,Home,Approved
40,Female,141,Master,Divorced,538,19,Employed,4,Rent,Personal,Rejected
41,Female,109,High School,Married,774,18,Self-Employed,5,Rent,Education,Rejected
54,Female,106,Master,Widowed,823,17,Employed,3,Own,Car,Rejected
52,Male,25,PhD,Widowed,691,18,Self-Employed,4,Mortgage,Business,Approved
61,Male,74,PhD,Single,308,19,Retired,2,Rent,Personal,Approved
57,Male,121,Bachelor,Single,812,40,Retired,5,Rent,Education,Approved
39,Male,48,PhD,Single,688,13,Retired,0,Own,Personal,Rejected
44,Female,130,PhD,Widowed,509,11,Employed,4,Own,Car,Rejected
52,Male,29,High School,Married,353,7,Retired,4,Rent,Car,Rejected
18,Male,110,High School,Widowed,451,27,Unemployed,2,Mortgage,Car,Approved
52,Male,48,High School,Widowed,709,37,Unemployed,1,Own,Education,Approved
54,Female,64,Bachelor,Widowed,309,5,Retired,3,Own,Personal,Rejected
64,Female,70,Bachelor,Married,567,8,Retired,1,Own,Business,Rejected
31,Male,120,Master,Widowed,750,10,Employed,0,Own,Personal,Rejected
20,Female,147,Bachelor,Single,496,37,Self-Employed,1,Rent,Education,Rejected
18,Female,30,High School,Single,697,26,Employed,0,Rent,Home,Rejected
22,Female,101,Bachelor,Single,351,15,Employed,3,Rent,Home,Rejected
43,Female,147,PhD,Single,768,16,Retired,2,Mortgage,Home,Approved
31,Female,25,Bachelor,Widowed,667,29,Unemployed,0,Own,Business,Approved
56,Male,86,PhD,Widowed,673,28,Unemployed,3,Own,Education,Approved
44,Male,81,Master,Widowed,358,10,Unemployed,5,Own,Education,Approved
26,Male,47,PhD,Single,593,40,Employed,2,Rent,Home,Rejected
32,Female,57,High School,Married,409,4,Unemployed,1,Own,Education,Rejected
32,Female,62,Master,Divorced,841,46,Unemployed,1,Rent,Education,Approved
43,Female,136,Master,Divorced,406,40,Retired,0,Rent,Car,Rejected
59,Female,65,Master,Divorced,596,14,Unemployed,4,Mortgage,Business,Rejected
30,Male,68,High School,Married,394,44,Self-Employed,5,Own,Education,Approved
68,Male,58,PhD,Widowed,771,33,Retired,4,Rent,Home,Approved
49,Male,90,Master,Divorced,378,18,Self-Employed,5,Own,Personal,Rejected
56,Male,146,High School,Divorced,549,12,Employed,2,Rent,Personal,Approved
66,Male,20,Master,Widowed,638,10,Unemployed,1,Rent,Business,Rejected
69,Male,88,Master,Divorced,356,21,Employed,3,Rent,Education,Approved
49,Female,49,High School,Widowed,446,33,Employed,5,Rent,Car,Rejected
21,Female,134,Bachelor,Divorced,316,14,Unemployed,2,Mortgage,Education,Rejected
47,Male,27,Master,Widowed,667,9,Retired,0,Own,Home,Approved
54,Female,132,Bachelor,Single,488,26,Employed,5,Own,Education,Rejected
40,Male,38,Master,Married,547,15,Unemployed,0,Rent,Personal,Rejected
56,Male,78,Bachelor,Divorced,449,21,Unemployed,2,Own,Personal,Rejected
62,Female,98,PhD,Widowed,512,22,Self-Employed,3,Own,Business,Rejected
32,Male,55,Bachelor,Single,516,46,Employed,1,Own,Home,Approved
60,Male,74,Bachelor,Widowed,305,41,Employed,1,Mortgage,Business,Rejected
46,Male,63,Bachelor,Divorced,694,43,Unemployed,3,Rent,Education,Approved
53,Female,96,Bachelor,Divorced,603,5,Self-Employed,1,Mortgage,Car,Approved
30,Female,97,PhD,Divorced,710,44,Retired,5,Own,Business,Rejected
49,Female,120,High School,Divorced,702,16,Self-Employed,4,Own,Personal,Rejected
24,Female,49,Bachelor,Divorced,679,35,Employed,4,Mortgage,Home,Approved
68,Male,58,High School,Single,751,5,Self-Employed,3,Rent,Education,Rejected
39,Female,32,Master,Widowed,528,26,Employed,4,Own,Home,Rejected
45,Female,141,High School,Widowed,804,26,Retired,5,Mortgage,Home,Approved
19,Female,131,Bachelor,Divorced,444,5,Employed,2,Mortgage,Home,Rejected
59,Male,64,High School,Widowed,349,50,Retired,1,Rent,Personal,Approved
62,Female,138,PhD,Single,723,36,Retired,5,Mortgage,Car,Rejected
70,Female,54,PhD,Divorced,399,24,Retired,2,Mortgage,Business,Rejected
23,Male,26,Bachelor,Married,642,15,Self-Employed,3,Mortgage,Personal,Approved
45,Male,129,High School,Single,825,30,Retired,5,Own,Car,Approved
45,Male,133,Master,Divorced,312,5,Unemployed,5,Own,Education,Rejected
61,Male,70,PhD,Widowed,471,40,Employed,4,Rent,Business,Approved
61,Female,65,Bachelor,Single,788,48,Employed,2,Mortgage,Car,Rejected
37,Male,39,PhD,Divorced,658,22,Employed,2,Mortgage,Education,Approved
47,Female,115,Bachelor,Widowed,405,33,Employed,0,Own,Business,Rejected
28,Female,57,High School,Widowed,488,5,Retired,2,Own,Education,Rejected
45,Female,123,High School,Divorced,828,32,Self-Employed,4,Own,Personal,Rejected
42,Female,51,High School,Single,349,50,Self-Employed,1,Rent,Education,Rejected
56,Female,77,High School,Divorced,548,48,Self-Employed,1,Own,Home,Rejected
50,Male,101,High School,Divorced,709,23,Self-Employed,1,Mortgage,Personal,Approved
18,Female,69,Bachelor,Divorced,690,10,Employed,4,Mortgage,Education,Approved
44,Female,71,PhD,Divorced,678,36,Unemployed,1,Mortgage,Personal,Approved
69,Female,105,Master,Divorced,526,50,Unemployed,5,Rent,Business,Rejected
30,Male,134,PhD,Widowed,512,17,Self-Employed,5,Mortgage,Home,Rejected
58,Female,72,High School,Divorced,828,27,Employed,1,Mortgage,Home,Approved
20,Female,85,PhD,Single,645,45,Retired,3,Mortgage,Education,Approved
56,Male,136,PhD,Married,718,8,Self-Employed,3,Own,Business,Rejected
23,Female,62,Bachelor,Divorced,383,40,Retired,0,Mortgage,Personal,Rejected
25,Female,101,Master,Single,496,44,Retired,5,Own,Education,Rejected
44,Male,83,Master,Married,829,50,Retired,0,Own,Car,Rejected
26,Female,132,High School,Single,520,6,Unemployed,2,Rent,Education,Rejected
54,Female,73,Bachelor,Widowed,475,7,Self-Employed,2,Rent,Car,Rejected
50,Female,84,Bachelor,Widowed,621,26,Employed,5,Mortgage,Home,Rejected
68,Female,21,Bachelor,Married,834,17,Employed,5,Rent,Education,Rejected
59,Female,97,Bachelor,Married,693,37,Employed,2,Own,Education,Approved
61,Male,51,Bachelor,Married,623,23,Self-Employed,0,Own,Home,Rejected
41,Male,119,Master,Widowed,384,27,Unemployed,1,Mortgage,Personal,Rejected
32,Male,149,Master,Widowed,726,40,Retired,2,Mortgage,Education,Approved
49,Female,123,PhD,Single,567,19,Employed,1,Mortgage,Business,Rejected
49,Female,108,Master,Widowed,411,27,Unemployed,1,Own,Home,Rejected
41,Female,68,Bachelor,Married,697,25,Retired,0,Own,Personal,Approved
58,Male,106,PhD,Divorced,351,40,Retired,3,Mortgage,Home,Rejected
69,Female,27,Master,Divorced,383,25,Unemployed,5,Mortgage,Home,Rejected
66,Female,120,PhD,Married,724,21,Self-Employed,3,Own,Personal,Rejected
66,Female,35,Master,Widowed,320,25,Self-Employed,4,Rent,Personal,Rejected
69,Male,59,High School,Married,355,7,Unemployed,3,Own,Personal,Approved
29,Male,125,Master,Widowed,590,35,Retired,2,Rent,Business,Approved
56,Female,46,PhD,Divorced,672,6,Employed,0,Mortgage,Car,Approved
19,Female,123,High School,Single,307,40,Employed,1,Own,Home,Rejected
20,Female,124,Bachelor,Widowed,423,50,Self-Employed,0,Mortgage,Education,Rejected
66,Male,54,PhD,Single,400,15,Employed,5,Mortgage,Car,Approved
54,Male,132,Bachelor,Divorced,392,24,Retired,4,Mortgage,Education,Rejected
66,Male,71,Bachelor,Single,684,49,Unemployed,4,Own,Education,Approved
34,Female,72,PhD,Single,379,4,Retired,4,Own,Education,Rejected
66,Male,110,Bachelor,Married,597,7,Employed,1,Rent,Business,Rejected
19,Female,100,PhD,Single,330,30,Retired,4,Own,Business,Rejected
19,Female,123,PhD,Divorced,677,17,Self-Employed,5,Rent,Car,Approved
45,Male,85,Master,Widowed,629,38,Unemployed,4,Rent,Personal,Approved
40,Female,132,High School,Single,598,30,Unemployed,4,Own,Business,Rejected
54,Male,50,Bachelor,Widowed,581,45,Employed,5,Own,Home,Rejected
49,Female,80,Bachelor,Married,311,39,Employed,5,Mortgage,Car,Rejected
50,Female,120,High School,Divorced,368,9,Retired,1,Mortgage,Home,Rejected
18,Male,124,High School,Divorced,822,19,Retired,4,Own,Education,Rejected
36,Female,117,High School,Widowed,322,13,Unemployed,2,Rent,Home,Rejected
19,Female,53,High School,Divorced,636,47,Self-Employed,0,Own,Business,Approved
70,Female,78,High School,Married,726,49,Self-Employed,4,Mortgage,Home,Rejected
61,Female,22,Master,Widowed,508,37,Employed,4,Rent,Education,Rejected
43,Female,36,PhD,Divorced,514,19,Self-Employed,0,Mortgage,Education,Rejected
49,Female,97,High School,Married,722,6,Unemployed,4,Own,Business,Approved
23,Female,65,Master,Married,372,12,Self-Employed,5,Own,Car,Rejected
49,Female,54,High School,Single,573,15,Unemployed,4,Own,Personal,Rejected
21,Male,148,High School,Divorced,532,47,Employed,2,Mortgage,Car,Approved
28,Male,131,Bachelor,Widowed,340,3,Retired,5,Own,Personal,Approved
34,Female,80,Bachelor,Single,588,4,Self-Employed,3,Own,Business,Rejected
55,Female,116,Bachelor,Widowed,569,37,Unemployed,1,Own,Business,Rejected
41,Male,109,Bachelor,Single,738,38,Employed,1,Mortgage,Business,Rejected
22,Female,78,PhD,Married,613,6,Unemployed,0,Mortgage,Education,Rejected
69,Male,37,PhD,Single,809,49,Self-Employed,2,Own,Car,Rejected
51,Male,114,Bachelor,Single,693,28,Unemployed,1,Mortgage,Personal,Approved
23,Male,35,Bachelor,Single,327,8,Employed,0,Rent,Car,Rejected
39,Female,29,High School,Divorced,569,31,Employed,0,Rent,Personal,Rejected
28,Female,123,High School,Single,766,21,Retired,0,Rent,Home,Rejected
65,Female,95,Bachelor,Married,373,45,Retired,1,Rent,Car,Rejected
33,Male,35,Bachelor,Widowed,545,29,Self-Employed,3,Own,Home,Approved
50,Male,31,Bachelor,Divorced,709,15,Employed,0,Rent,Business,Approved
26,Male,94,High School,Married,797,49,Self-Employed,4,Own,Education,Approved
23,Female,148,Bachelor,Divorced,717,24,Employed,3,Own,Education,Rejected
33,Male,46,Bachelor,Widowed,510,21,Self-Employed,3,Mortgage,Car,Approved
46,Male,31,PhD,Widowed,522,49,Employed,4,Rent,Home,Rejected
20,Female,49,PhD,Widowed,659,23,Self-Employed,1,Own,Home,Rejected
37,Male,28,High School,Divorced,319,31,Unemployed,1,Mortgage,Personal,Rejected
53,Male,72,PhD,Divorced,722,34,Retired,2,Own,Car,Rejected
36,Female,73,High School,Widowed,420,28,Unemployed,1,Own,Car,Rejected
43,Female,68,Master,Widowed,472,32,Retired,2,Mortgage,Home,Rejected
20,Male,23,Bachelor,Married,333,22,Self-Employed,0,Own,Home,Rejected
36,Female,98,High School,Widowed,370,3,Employed,1,Mortgage,Education,Rejected
37,Male,110,PhD,Single,844,9,Employed,1,Rent,Car,Rejected
49,Female,98,Master,Divorced,834,6,Self-Employed,4,Own,Education,Approved
24,Male,122,PhD,Married,313,1,Employed,0,Own,Business,Approved
69,Female,130,High School,Divorced,605,22,Self-Employed,5,Rent,Business,Rejected
58,Male,77,Master,Widowed,847,4,Unemployed,5,Own,Home,Approved
50,Female,101,PhD,Single,570,45,Self-Employed,2,Mortgage,Personal,Rejected
57,Female,41,Master,Widowed,352,8,Employed,0,Mortgage,Home,Rejected
56,Female,150,Bachelor,Divorced,793,37,Employed,5,Mortgage,Car,Rejected
35,Female,98,Bachelor,Married,762,42,Self-Employed,3,Own,Home,Approved
57,Female,118,Master,Divorced,822,19,Self-Employed,4,Rent,Education,Approved
18,Female,57,PhD,Married,623,44,Self-Employed,3,Own,Home,Approved
28,Female,136,PhD,Single,823,1,Self-Employed,5,Rent,Education,Rejected
45,Male,45,PhD,Widowed,742,41,Retired,2,Rent,Business,Approved
42,Male,69,Bachelor,Widowed,550,24,Retired,1,Own,Education,Approved
67,Female,57,High School,Single,459,48,Unemployed,1,Rent,Car,Rejected
40,Female,61,High School,Divorced,335,17,Retired,1,Own,Home,Rejected
48,Male,56,Master,Single,497,32,Employed,2,Own,Car,Approved
47,Male,68,PhD,Widowed,749,50,Retired,3,Own,Education,Approved
59,Female,65,Master,Married,677,14,Retired,2,Own,Education,Approved
52,Male,48,High School,Widowed,545,17,Employed,2,Mortgage,Education,Rejected
24,Male,31,High School,Divorced,692,32,Retired,3,Own,Education,Rejected
33,Female,135,PhD,Married,503,33,Self-Employed,5,Mortgage,Education,Rejected
43,Female,101,Master,Divorced,343,30,Retired,1,Own,Home,Rejected
65,Female,63,PhD,Widowed,614,47,Retired,4,Rent,Personal,Approved
69,Male,21,High School,Widowed,707,34,Retired,2,Mortgage,Car,Rejected
66,Female,36,High School,Married,505,28,Self-Employed,2,Own,Business,Rejected
19,Female,37,PhD,Divorced,540,24,Self-Employed,3,Own,Business,Rejected
18,Male,41,Master,Married,340,14,Unemployed,5,Rent,Car,Rejected
65,Female,102,Bachelor,Married,662,34,Unemployed,4,Rent,Home,Rejected
29,Male,77,PhD,Divorced,394,47,Self-Employed,2,Own,Car,Rejected
22,Male,72,High School,Married,839,1,Employed,0,Rent,Education,Rejected
54,Male,20,Bachelor,Single,443,22,Unemployed,4,Rent,Personal,Rejected
49,Male,80,PhD,Married,358,33,Retired,2,Mortgage,Car,Approved
26,Male,50,Bachelor,Widowed,808,44,Retired,4,Rent,Home,Rejected
58,Male,85,PhD,Divorced,812,47,Retired,5,Rent,Education,Approved
52,Female,72,High School,Widowed,321,18,Employed,0,Mortgage,Car,Rejected
36,Female,114,PhD,Single,503,47,Unemployed,0,Own,Car,Rejected
65,Female,42,Bachelor,Single,770,39,Self-Employed,4,Mortgage,Education,Rejected
33,Male,150,Master,Married,583,12,Self-Employed,1,Rent,Home,Rejected
20,Female,106,High School,Widowed,671,10,Employed,4,Mortgage,Personal,Rejected
37,Male,144,High School,Married,797,2,Self-Employed,3,Rent,Personal,Rejected
41,Female,128,Bachelor,Married,631,2,Employed,1,Mortgage,Education,Approved
50,Male,59,PhD,Widowed,326,6,Self-Employed,5,Mortgage,Business,Rejected
41,Female,140,PhD,Single,428,20,Self-Employed,0,Own,Home,Rejected
69,Male,58,PhD,Single,679,38,Employed,1,Rent,Business,Approved
28,Female,139,High School,Single,806,28,Self-Employed,0,Mortgage,Business,Approved
66,Male,37,High School,Divorced,394,42,Unemployed,0,Mortgage,Business,Approved
25,Female,56,Bachelor,Divorced,476,3,Self-Employed,0,Rent,Home,Rejected
53,Male,24,PhD,Married,772,48,Retired,3,Mortgage,Business,Approved
55,Female,92,PhD,Divorced,785,37,Employed,3,Own,Education,Rejected
57,Female,60,Bachelor,Divorced,574,37,Self-Employed,2,Rent,Car,Rejected
37,Female,29,High School,Widowed,722,42,Unemployed,5,Own,Education,Approved
52,Male,87,High School,Married,830,25,Self-Employed,3,Rent,Car,Rejected
65,Male,43,Master,Married,619,23,Self-Employed,5,Own,Personal,Rejected
42,Male,97,Master,Widowed,357,13,Retired,0,Rent,Business,Rejected
52,Male,128,PhD,Single,572,24,Unemployed,5,Mortgage,Personal,Rejected
42,Male,43,High School,Widowed,497,3,Self-Employed,4,Rent,Personal,Approved
46,Female,26,PhD,Single,378,50,Self-Employed,5,Mortgage,Home,Rejected
35,Male,92,High School,Married,340,38,Retired,1,Own,Business,Rejected
63,Female,126,Master,Married,544,28,Employed,4,Mortgage,Personal,Rejected
35,Female,118,Bachelor,Divorced,322,26,Employed,0,Own,Car,Rejected
19,Male,141,High School,Divorced,535,20,Employed,4,Mortgage,Car,Rejected
52,Female,31,Master,Widowed,425,27,Retired,1,Own,Home,Rejected
33,Male,104,Master,Divorced,439,1,Employed,2,Rent,Personal,Rejected
58,Male,22,High School,Married,693,10,Unemployed,2,Rent,Personal,Approved
53,Male,98,PhD,Married,426,10,Employed,5,Mortgage,Personal,Rejected
50,Female,104,High School,Single,413,1,Employed,5,Rent,Home,Rejected
21,Male,29,Master,Divorced,824,32,Self-Employed,3,Mortgage,Business,Rejected
50,Male,52,High School,Single,527,32,Unemployed,4,Own,Personal,Approved
31,Male,65,Bachelor,Married,820,43,Retired,3,Own,Personal,Approved
38,Female,78,PhD,Divorced,445,27,Unemployed,3,Rent,Education,Rejected
65,Male,71,High School,Single,462,13,Employed,4,Rent,Car,Rejected
37,Female,25,Master,Married,468,17,Self-Employed,4,Mortgage,Business,Rejected
25,Female,149,Master,Single,837,28,Retired,1,Mortgage,Business,Approved
24,Male,48,PhD,Divorced,424,25,Unemployed,4,Own,Business,Rejected
20,Female,138,High School,Single,599,50,Unemployed,4,Own,Personal,Rejected
34,Female,116,Master,Single,549,36,Employed,5,Mortgage,Education,Rejected
50,Male,87,PhD,Married,821,47,Employed,3,Rent,Business,Rejected
65,Male,79,Bachelor,Divorced,404,2,Retired,2,Rent,Home,Approved
29,Male,143,PhD,Widowed,812,32,Employed,0,Mortgage,Home,Approved
68,Female,103,High School,Widowed,805,32,Self-Employed,2,Mortgage,Car,Rejected
39,Male,60,High School,Single,601,6,Retired,4,Rent,Education,Approved
39,Female,132,Master,Married,529,31,Employed,0,Rent,Business,Rejected
63,Female,84,Bachelor,Divorced,363,9,Retired,4,Rent,Education,Rejected
47,Female,98,High School,Married,531,43,Unemployed,5,Rent,Home,Rejected
55,Female,82,Master,Divorced,482,16,Retired,1,Mortgage,Business,Rejected
55,Female,137,PhD,Married,618,25,Unemployed,4,Own,Personal,Approved
